parameter,estimate,lb,ub
prep.bl.use.prop.0,0.3,0.1,0.4
prep.mean.days.usage.0,365,60,540
art.init.lag.mean,60,7,270
non.testers.prop.0,0.1,0.05,0.15
tests.per.year.0,1.5,0.5,4
transmission.probability.insertive.infected,0.000776976,0.000478958,0.001043064
transmission.probability.receptive.infected,0.000234157,0.000053218,0.000415097
seroconcordant.main.condom.prob,0.59,0.05,0.59
serodiscordant.main.condom.prob,0.75,0.2,0.75
seroconcordant.casual.condom.prob,0.79,0.2,0.79
serodiscordant.casual.condom.prob,0.83,0.2,0.83
prop.steady.sex.acts,0.12,0.12,0.29
prop.casual.sex.acts,0.07,0.07,0.14
incarceration.prob,0.00007691161,0.00003846406,0.000153787
incarceration.with.cji.prob,0.0005740597,0.000384809,0.000856345
jail.serving.time.mean,57.7,2,180
network.retention.multiplier,0.8,0.2,1
post.release.interference.period.mean,60,30,365
substance.use.condom.prob.multiplier,0.8,0.2,1
external.infections.per.person.day.min,0.00000684931507,0.00000383561644,0.00000684931507
external.infections.per.person.day.max,0.00003287671233,0.00001841095890,0.00003287671233